,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint George,37.1041,-113.5841,82.0,8,1,12.66,US,1618872464
1,Rikitea,-23.1203,-134.9692,78.13,73,0,10.56,PF,1618872197
2,Mataura,-46.1927,168.8643,62.01,62,0,5.01,NZ,1618872198
3,Balabac,7.9868,117.0645,81.05,76,95,15.79,PH,1618872198
4,Bredasdorp,-34.5322,20.0403,60.8,67,95,19.57,ZA,1618872198
5,Ilulissat,69.2167,-51.1,17.6,45,95,4.61,GL,1618872619
6,Salalah,17.0151,54.0924,80.6,78,0,5.75,OM,1618872688
7,Butaritari,3.0707,172.7902,83.23,76,96,12.03,KI,1618872688
8,Yellowknife,62.456,-114.3525,33.8,69,40,10.36,CA,1618872689
9,Puerto Baquerizo Moreno,-0.9,-89.6,80.6,83,40,8.05,EC,1618872689
10,Ponta do Sol,32.6667,-17.1,61.0,73,17,3.0,PT,1618872689
11,Narsaq,60.9167,-46.05,37.4,48,100,5.75,GL,1618872690
12,Avarua,-21.2078,-159.775,82.4,69,75,10.36,CK,1618872690
13,Fortuna,40.5982,-124.1573,57.99,76,20,14.97,US,1618872690
14,Ketchikan,55.3422,-131.6461,57.2,33,1,6.91,US,1618872691
15,Kieta,-6.2167,155.6333,85.71,68,74,2.51,PG,1618872201
16,Norman Wells,65.282,-126.8329,50.0,40,1,5.75,CA,1618872201
17,Saldanha,-33.0117,17.9442,66.2,59,6,5.75,ZA,1618872202
18,Zhigansk,66.7697,123.3711,3.83,93,82,15.08,RU,1618872202
19,Simao,22.7886,100.9748,58.39,67,0,1.21,CN,1618872202
20,Saint-Philippe,-21.3585,55.7679,75.2,94,90,4.61,RE,1618872203
21,The Valley,18.217,-63.0578,82.4,74,20,14.97,AI,1618871909
22,Albany,42.6001,-73.9662,59.0,62,75,4.61,US,1618871928
23,Ushuaia,-54.8,-68.3,42.8,87,40,2.3,AR,1618871943
24,Miyako,39.6367,141.9525,56.86,55,5,7.29,JP,1618872203
25,Ahipara,-35.1667,173.1667,64.49,93,100,16.69,NZ,1618872204
26,Port Alfred,-33.5906,26.891,64.65,73,100,12.28,ZA,1618872204
27,Klaksvík,62.2266,-6.589,39.2,87,75,6.91,FO,1618872204
28,Vaini,-21.2,-175.2,78.8,83,75,11.5,TO,1618872204
29,Hobart,-42.8794,147.3294,51.01,87,75,8.05,AU,1618872205
30,Beloha,-25.1667,45.05,67.62,76,0,12.75,MG,1618872205
31,Cape Town,-33.9258,18.4232,62.01,77,0,5.75,ZA,1618872118
32,Bengkulu,-3.8004,102.2655,75.0,89,42,4.12,ID,1618872134
33,Berlevåg,70.8578,29.0864,36.75,75,0,12.15,NO,1618872206
34,Bermejo,-32.8833,-68.8,80.6,50,40,2.3,AR,1618871923
35,Moundou,8.5667,16.0833,86.22,38,95,6.17,TD,1618872206
36,Alyangula,-13.8483,136.4192,77.0,100,96,5.77,AU,1618872206
37,Guaraciaba do Norte,-4.1669,-40.7475,64.6,91,100,4.14,BR,1618872007
38,Nome,64.5011,-165.4064,39.2,60,1,14.97,US,1618872207
39,Vila Velha,-20.3297,-40.2925,75.2,94,75,6.91,BR,1618872207
40,Hermanus,-34.4187,19.2345,61.0,78,90,15.01,ZA,1618872208
41,Puerto Ayora,-0.7393,-90.3518,82.4,74,40,11.5,EC,1618872208
42,Jamestown,42.097,-79.2353,57.2,35,75,6.91,US,1618872080
43,São Filipe,14.8961,-24.4956,73.18,74,59,9.73,CV,1618872208
44,Mossamedes,-15.1961,12.1522,80.53,75,7,2.59,AO,1618872209
45,Kūstī,13.1629,32.6635,88.21,13,59,8.97,SD,1618871925
46,Lindi,-10.0,39.7167,70.59,97,93,5.23,TZ,1618872209
47,Sittwe,20.15,92.9,77.16,85,0,2.44,MM,1618872209
48,Bereda,43.2686,-7.5406,46.99,80,99,1.99,ES,1618872210
49,Fort Nelson,58.8053,-122.7002,55.4,24,1,6.91,CA,1618872210
50,Bluff,-46.6,168.3333,62.01,62,0,5.01,NZ,1618872210
51,Labuhan,-6.8844,112.2051,75.69,84,90,7.38,ID,1618872211
52,Kapaa,22.0752,-159.319,81.0,73,40,10.36,US,1618871961
53,Port Lincoln,-34.7333,135.8667,59.59,81,24,20.6,AU,1618872211
54,Shache,38.4167,77.2406,57.11,21,7,5.99,CN,1618872211
55,Zaragoza,41.6561,-0.8773,62.01,38,20,4.61,ES,1618872044
56,Ambanja,-13.6833,48.45,71.8,90,82,4.41,MG,1618872212
57,Pachino,36.7186,15.0907,44.6,87,1,2.3,IT,1618872212
58,Severo-Kuril'sk,50.6789,156.125,37.38,93,89,15.73,RU,1618872212
59,Katsuyama,36.0617,136.501,53.6,62,20,5.75,JP,1618871953
60,Busselton,-33.65,115.3333,52.0,98,75,8.03,AU,1618872213
61,Kutum,14.2,24.6667,77.29,10,4,7.11,SD,1618872213
62,Thompson,55.7435,-97.8558,26.6,54,90,16.11,CA,1618872213
63,Souillac,-20.5167,57.5167,77.0,94,40,9.01,MU,1618872215
